"","consent1","consent2","consent3","freediscount","paydiscount","fakeemail","likely1","likely2","likely3","likely4","annoyed1","annoyed2","annoyed3","annoyed4","control","reasonable1","reasonable2","reasonable3","reasonable4","reasonable5","reasonable6","reasonable7","reasonable8","reasonable9","comfortable1","comfortable2","comfortable3","comfortable4","comfortable5","comfortable6","comfortable7","comfortable8","comfortable9","ac","comfortable10","gender","age","comments","Condition","annoyed","likely","likelyy","annoyedsum","likelysum","likelysumm","discount","female","female2","discount2"
"273","Yes","Yes","Yes",20,0,4,7,7,7,7,7,4,7,4,5,7,4,7,7,3,7,1,1,7,7,4,7,7,3,7,1,1,7,"Somewhat flexible",5,"Male",30,"","1",5.5,7,7,22,28,28,20,0,0,20
"274","Yes","Yes","Yes",25,0,6,6,6,7,7,6,6,7,7,6,6,6,6,7,7,6,6,6,7,7,6,6,6,7,7,7,6,6,"Somewhat flexible",6,"Male",35,"","1",6.5,6.5,6.5,26,26,26,25,0,0,25
"275","Yes","Yes","Yes",0,40,3,5,4,5,5,4,2,6,5,3,4,4,6,4,1,3,2,6,5,2,3,4,3,1,3,2,6,6,"Somewhat flexible",4,"Female",57,"","2",4.25,4.75,4.75,17,19,19,40,1,1,40
"276","Yes","Yes","Yes",0,50,2,7,7,7,7,3,4,7,7,1,5,5,1,5,1,1,1,1,1,3,3,2,2,1,1,1,1,1,"Somewhat flexible",0,"Male",27,"","2",5.25,7,7,21,28,28,50,0,0,50
"277","Yes","Yes","Yes",0,100,4,6,3,3,5,6,4,5,2,5,3,7,3,6,3,7,4,5,3,6,4,6,5,5,7,3,6,5,"Somewhat flexible",4,"Male",25,"","2",4.25,4.25,4.25,17,17,17,100,0,0,100
"278","Yes","Yes","Yes",300,0,6,6,5,6,4,5,5,7,6,6,6,4,6,4,4,5,6,5,5,5,5,4,6,4,7,4,6,6,"Somewhat flexible",6,"Male",48,"","1",5.75,5.25,5.25,23,21,21,300,0,0,300
"279","Yes","Yes","Yes",0,100,2,6,6,4,4,5,5,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,4,6,6,"Somewhat flexible",5,"Male",50,"","2",4.5,5,5,18,20,20,100,0,0,100
"280","Yes","Yes","Yes",500,0,7,5,7,7,7,7,5,6,7,7,6,7,5,7,7,6,5,5,7,7,6,5,5,7,6,6,7,6,"Somewhat flexible",7,"Female",53,"","1",6.25,6.5,6.5,25,26,26,500,1,1,500
"281","Yes","Yes","Yes",25,0,1,7,5,3,3,1,3,6,6,2,5,7,7,3,1,5,1,4,7,4,7,7,2,1,2,2,7,7,"Somewhat flexible",5,"Male",45,"","1",4,4.5,4.5,16,18,18,25,0,0,25
"282","Yes","Yes","Yes",10,0,5,5,5,6,5,5,5,6,5,6,6,4,5,6,6,5,5,6,5,6,6,5,5,5,6,6,6,6,"Somewhat flexible",6,"Female",45,"","1",5.25,5.25,5.25,21,21,21,10,1,1,10
"283","Yes","Yes","Yes",0,500,6,5,6,6,7,6,6,5,7,6,6,6,7,6,6,5,5,7,7,7,7,7,6,6,5,5,6,6,"Somewhat flexible",6,"Male",33,"","2",6,6,6,24,24,24,500,0,0,500
"284","Yes","Yes","Yes",0,50,4,5,6,2,3,4,6,2,3,3,7,7,5,2,2,1,2,2,6,4,7,6,2,3,4,5,3,6,"Somewhat flexible",3,"Male",25,"","2",3.75,4,4,15,16,16,50,0,0,50
"285","Yes","Yes","Yes",5,0,5,6,4,5,5,3,4,4,5,4,4,4,4,5,4,5,3,3,4,5,6,6,5,5,4,5,6,5,"Somewhat flexible",5,"Male",40,"","1",4,5,5,16,20,20,5,0,0,5
"286","Yes","Yes","Yes",0,15,2,7,7,4,5,2,1,6,7,6,2,7,7,1,1,1,7,6,6,4,7,6,3,1,1,7,7,7,"Somewhat flexible",5,"Female",37,"","2",4,5.75,5.75,16,23,23,15,1,1,15
"287","Yes","Yes","Yes",0,5,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,6,5,5,5,5,5,5,"Somewhat flexible",6,"Female",29,"","2",5,6,6,20,24,24,5,1,1,5
"288","Yes","Yes","Yes",0,495,7,7,7,6,7,6,6,6,7,6,5,6,6,7,7,6,5,7,6,6,6,7,7,5,5,6,6,6,"Somewhat flexible",6,"Male",30,"","2",6.25,6.75,6.75,25,27,27,495,0,0,495
"289","Yes","Yes","Yes",30,0,1,7,4,6,4,1,3,7,7,3,1,5,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,"Somewhat flexible",0,"Female",32,"","1",4.5,5.25,5.25,18,21,21,30,1,1,30
"290","Yes","Yes","Yes",0,56,4,6,5,3,4,4,3,5,6,5,3,4,4,5,4,5,6,3,4,3,3,5,4,4,3,2,4,5,"Somewhat flexible",5,"Male",25,"","2",4.5,4.5,4.5,18,18,18,56,0,0,56
